CRUISER;;19:00;26/07/2016;20:30;26/07/2016;Delayed startLW: 17:41 (0.7)
DINGHY;Wed 2 River Start;19:00;27/07/2016;20:05;27/07/2016;Wed 2 Tide: 18.31 LW: 0.9M 1Race(s), Race Time: 7.00 PM
CRUISER;;19:00;28/07/2016;20:30;28/07/2016;Lack of WaterHW: 13:44 (3.0)LW: 19:39 (1.0)
DINGHY;RS200 Open;00:00;30/07/2016;00:00;31/07/2016;RS200 Open Tide: 16.18 HW: 3.2M
DINGHY;Sun Junior/N.Adult River Start;15:00;31/07/2016;17:45;31/07/2016;Sun Junior/N.Adult Tide: 17.26 HW: 3.5M 3Race(s), Race Time: 3.00 PM
CRUISER;;19:00;02/08/2016;20:30;02/08/2016;HW: 19:17 (3.9)
DINGHY;King Cup Up-Spirits Start.;19:00;03/08/2016;20:05;03/08/2016;King Cup Tide: 20.04 HW: 4M 1Race(s),Up-Spirits Start. Race Time: 7.00 PM
CRUISER;;19:00;04/08/2016;20:30;04/08/2016;HW: 20:42 (4.0)
DINGHY;Sat 2 At Sea;16:00;06/08/2016;17:55;06/08/2016;Sat 2 Tide: 15.51 LW: 0.4M 2Race(s),At Sea Race Time: 4.00 PM
CRUISER;;19:00;09/08/2016;20:30;09/08/2016;HW: 23:18 (3.2)LW: 17:11 (0.9)
DINGHY;Wed 2 Start-Box Start.;19:00;10/08/2016;20:05;10/08/2016;Wed 2 Tide: 17.41 LW: 1.2M 1Race(s),Start-Box Start. Race Time: 7.00 PM
CRUISER;;19:00;11/08/2016;20:30;11/08/2016;LW: 18:27 (1.3)
DINGHY;Comet Trio Nationals River Start;00:00;12/08/2016;00:00;12/08/2016;Comet Trio Nationals Tide: 13.28 HW: 2.7M 2Race(s),
DINGHY;Comet Trio Nationals River Start;00:00;13/08/2016;00:00;13/08/2016;Comet Trio Nationals Tide: 14.36 HW: 2.7M 3Race(s),
DINGHY;Comet Trio Nationals River Start;00:00;14/08/2016;00:00;14/08/2016;Comet Trio Nationals Tide: 16.11 HW: 2.9M 2Race(s),
CRUISER;;19:00;16/08/2016;20:30;16/08/2016;HW: 18:08 (3.6)
DINGHY;Wed 2 Up-Spirits Start.;19:00;17/08/2016;20:05;17/08/2016;Wed 2 Tide: 18.57 HW: 3.8M 1Race(s),Up-Spirits Start. Race Time: 7.00 PM
CRUISER;;19:00;18/08/2016;20:30;18/08/2016;HW: 19:44 (4.0)
DINGHY;Sat 2 At Sea;14:15;20/08/2016;16:10;20/08/2016;Sat 2 Tide: 14.59 LW: 0.2M 2Race(s),At Sea Race Time: 2.15 PM
CRUISER;;19:00;23/08/2016;20:30;23/08/2016;HW: 23:04 (3.8)LW: 16:46 (0.4)
DINGHY;Wed 2 Start-Box Start.;18:30;24/08/2016;19:35;24/08/2016;Wed 2 Tide: 17.24 LW: 0.7M 1Race(s),Start-Box Start. Race Time: 6.30 PM
CRUISER;;00:00;24/08/2016;00:00;25/08/2016;Dartmouth Regatta 25-28 Aug
CRUISER;;19:00;25/08/2016;20:00;25/08/2016;Delayed StartLW: 18:11 (0.9)
DINGHY;Bank Hol Mon No Race;00:00;29/08/2016;00:00;30/08/2016;Bank Hol Mon No Race
CRUISER;;19:00;30/08/2016;20:00;30/08/2016;HW: 18:09 (3.7)
DINGHY;Wed 2 Up-Spirits Start.;18:30;31/08/2016;19:35;31/08/2016;Wed 2 Tide: 18.58 HW: 3.9M 1Race(s),Up-Spirits Start. Race Time: 6.30 PM
CRUISER;;19:00;01/09/2016;20:00;01/09/2016;HW: 19:42 (4.0)
DINGHY;Sat 2 At Sea;15:15;03/09/2016;17:10;03/09/2016;Sat 2 Tide: 14.58 LW: 0.2M 2Race(s),At Sea Race Time: 3.15 PM
CRUISER;;19:00;06/09/2016;20:00;06/09/2016;Last evening Cruiser RaceHW: 22:17 (3.6)LW: 16:12 (0.7)
DINGHY;RS100 & RS300 Nationals;00:00;08/09/2016;00:00;09/09/2016;RS100 & RS300 Nationals Tide: 11.09 HW: 3.1M
DINGHY;RS100 & RS300 Nationals;00:00;09/09/2016;00:00;10/09/2016;RS100 & RS300 Nationals Tide: 11.49 HW: 2.9M
DINGHY;RS100 & RS300 Nationals;00:00;10/09/2016;00:00;11/09/2016;RS100 & RS300 Nationals Tide: 12.4 HW: 2.8M
DINGHY;RS100 & RS300 Nationals;00:00;11/09/2016;00:00;12/09/2016;RS100 & RS300 Nationals Tide: 13.48 HW: 2.7M
DINGHY;King Cup Up-Spirits Start.;18:30;14/09/2016;19:35;14/09/2016;King Cup Tide: 17.38 HW: 3.6M 1Race(s),Up-Spirits Start. Race Time: 6.30 PM
DINGHY;Dinghy AGM;00:00;14/09/2016;00:00;15/09/2016;Dinghy AGM
CRUISER;;00:00;17/09/2016;00:00;18/09/2016;Race to Brixham. Ret. Sun.HW: 07:50 (4.0)
DINGHY;Bart's Bash;00:00;18/09/2016;00:00;19/09/2016;Bart's Bash Tide: 14.41 LW: 0.1M
DINGHY;Sun Junior/N. Adult At Sea;12:00;25/09/2016;13:55;25/09/2016;Sun Junior/N. Adult Tide: 14.25 HW: 2.9M 2Race(s),At Sea Race Time: 12.00 Noon
DINGHY;Winter River Start;15:00;01/10/2016;16:55;01/10/2016;Winter Tide: 13.55 LW: 0.3M 2Race(s), Race Time: 3.00 PM
CRUISER;;00:00;01/10/2016;00:00;02/10/2016;Race to Brixham. Ret. Sun.HW: 07:41 (3.9)
DINGHY;RSFeva Grand Prix;00:00;08/10/2016;00:00;09/10/2016;RSFeva Grand Prix Tide: 11.14 HW: 3.1M
CRUISER;;00:00;08/10/2016;00:00;09/10/2016;Destination TBAHW: 11:14 (3.1)
DINGHY;RSFeva Grand Prix;00:00;09/10/2016;00:00;10/10/2016;RSFeva Grand Prix Tide: 12.04 HW: 2.9M
DINGHY;Winter River Start;14:00;15/10/2016;15:55;15/10/2016;Winter Tide: 12.39 LW: 0.3M 2Race(s), Race Time: 2.00 PM
CRUISER;;00:00;17/10/2016;00:00;17/10/2016;Window 17-19th. Oct.HW: 08:08 (4.3)
DINGHY;Winter Junior/N. Adult River Start;11:00;23/10/2016;12:55;23/10/2016;Winter Junior/N. Adult Tide: 12.41 HW: 3.1M 2Race(s), Race Time: 11.00 AM
